Name,Price in Rupees,Ratings
"Redmi 8 (Sapphire Blue, 64 GB)","9,999",4.4
"Realme C11 (Rich Green, 32 GB)","7,499",4.4
"Realme C11 (Rich Grey, 32 GB)","7,499",4.4
"Redmi 8 (Ruby Red, 64 GB)","9,999",4.4
"Redmi 8 (Onyx Black, 64 GB)","9,999",4.4
"Tecno Spark Power 2 (Misty Grey, 64 GB)","9,999",4.4
"Realme 6 (Comet Blue, 64 GB)","15,999",4.4
"Realme 6i (Eclipse Black, 64 GB)","12,999",4.5
"Realme 6i (Lunar White, 64 GB)","14,999",4.5
"Realme 6i (Lunar White, 64 GB)","12,999",4.5
"Realme 6i (Eclipse Black, 64 GB)","14,999",4.5
"Infinix Smart 4 Plus (Midnight Black, 32 GB)","7,999",4.4
"Infinix Smart 4 Plus (Ocean Wave, 32 GB)","7,999",4.4
"POCO X2 (Matrix Purple, 64 GB)","17,499",4.5
"POCO X2 (Atlantis Blue, 128 GB)","18,499",4.5
"Infinix Smart 4 Plus (Violet, 32 GB)","7,999",4.4
"POCO X2 (Matrix Purple, 128 GB)","18,499",4.5
"Realme C3 (Blazing Red, 64 GB)","9,999",4.5
"Honor 9S (Black, 32 GB)","6,499",4.4
"Honor 9S (Blue, 32 GB)","6,499",4.4
"Realme 6 Pro (Lightning Blue, 128 GB)","19,999",4.4
"Realme Narzo 10 (That White, 128 GB)","11,999",4.5
"Realme Narzo 10 (That Green, 128 GB)","11,999",4.5
"Realme Narzo 10 (That Blue, 128 GB)","11,999",4.5
